NAME OF THE COMPANY,,"PAY PACKAGE 
 (Rs. in lakhs p.a.)",BOND,BOND VALUE,NO. PLACED,p_t_id,year,,
NUTANIX TECH,,14.53,NO,NO,0,2,2016,,
LATENT VIEW, HYD,4.5,NO,NO,0,2,2016,,
TEMENOS INDIA, CHENNAI,0,NO,NO,0,2,2016,,
TEACH FOR INDIA, B'LORE,,NO,NO,,2,2016,,
TOTAL ENVIRONMENT, B'LORE,4.5,NO,NO,2,2,2016,,
C-DOT, B'LORE,10,5years,NO,2,2,2016,,
QUEST GLOBAL, B'LORE,4.5,NO,NO,2,2,2016,,
TATA TECHNOLOGIES, PUNE,0,NO,NO,0,2,2016,,
ASTRAZENECA, B'LORE,8.5,NO,NO,2,2,2016,,
CREDR.COM,,8,NO,NO,2,2,2016,,
ZILLIOUS, NEW DELHI,7,NO,NO,2,2,2016,,
BOSCH LTD, B'LORE,0,NO,NO,0,2,2016,,
AVANTI LEARNING. B'LORE,,4,NO,NO,0,2,2016,,
CLAIRVOLEX, GURGAON,8,NO,NO,1,2,2016,,
FIAT INDIA, PUNE,0,NO,NO,0,2,2016,,
EXXONMOBIL, GURGAON,0,NO,NO,0,2,2016,,
GOOGLE INDIA,  B'LORE,0,NO,NO,0,2,2016,,
INSZOOM,,0,NO,NO,0,2,2016,,
ORBEES MEDICAL,,0,2 Years,2 Lakhs,0,2,2016,,
KPMG,,0,NO,NO,0,2,2016,,
WEBONICE LAB, PUNE,5.5,NO,NO,0,2,2016,,
MERCEDES BENZ R&D, B'LORE,6.84,NO,NO,15,2,2016,,
ORANGE COUNTY, B'LORE,3.12,NO,NO,2,2,2016,,
ACCORD S.W., B'LORE,4.8,NO,NO,2,2,2016,,
EVIVE SOFTWARE, B'LORE,7.5,NO,NO,0,2,2016,,
PRODUCTION MODELLING,NAGPUR,0,NO,NO,0,2,2016,,
THINK & LEARN,B'LORE,6,NO,NO,0,2,2016,,
GLENMARK PHARMA, MUMBAI,0,NO,NO,0,2,2016,,
ABB LTD,CHENNAI,0,NO,NO,0,2,2016,,
EXPICIENT S.W., B'LORE,5,NO,NO,3,2,2016,,
PEOPLE INTERACTIVE, MUMBAI,7,NO,NO,0,2,2016,,
POWER2SME,,7,NO,NO,1,2,2016,,
DIAMLER INDIA, CHENNAI,0,2 Years,NO,0,2,2016,,
WS ATKINS GLOBAL, B'LORE,5.02,NO,NO,5,2,2016,,
GENPACT HEADSTRONG, NOIDA,4,NO,NO,2,2,2016,,
HERO MOTOCORP, N DELHI,0,NO,NO,,2,2016,,
VA TECH WABAG, CHENNAI,4.5,NO,NO,1,2,2016,,
INFOSYS TECHNOLOGIES, B'LORE,6,NO,NO,1,2,2016,,
MAHINDRA & MAHINDRA, MUMBAI,0,NO,NO,0,2,2016,,
HEXAGON, HYD,5,NO,NO,1,2,2016,,
FRACTAL ANALYTICS, MUMBAI,0,NO,NO,0,2,2016,,
ZOHO CORPORATION, B'LORE,4.6,NO,NO,5,2,2016,,
SKF INDIA LTD, PUNE,0,NO,NO,0,2,2016,,
L&T INFO, MUMBAI,3.5,NO,NO,1,2,2016,,
TARGET INDIA,B'LORE,11.63,NO,NO,4,2,2016,,
